ID	漢字	部首	画数	音読	訓読	級
3206700	縮	糸	17	[シュク]	[[ちぢ,む],[ちぢ,まる],[ちぢ,める],[ちぢ,れる],[ちぢ,らす]]	5
2591500	冊	冂	5	[サツ,サク]	[]	5
2013500	源	氵	13	[ゲン]	[[みなもと]]	5
1184000	机	木	6	[キ]	[[つくえ]]	5
148200	異	田	11	[イ]	[[こと]]	5
6997700	翌	羽	11	[ヨク]	[]	5
6214700	閉	門	11	[ヘイ]	[[と,じる],[と,ざす],[し,める],[し,まる]]	5
5413400	難	隹	18	[ナン]	[[かた,い],[むずか,しい]]	5
4600800	探	扌	11	[タン]	[[さぐ,る],[さが,す]]	5
4051500	宣	宀	9	[セン]	[]	5
3210400	熟	灬	15	[ジュク]	[[う,れる]]	5
2652700	蚕	虫	10	[サン]	[[かいこ]]	5
2016600	厳	⺍	17	[ゲン,ゴン]	[[おごそ,か],[きび,しい]]	5
1250000	揮	扌	12	[キ]	[]	5
176200	遺	辶	15	[イ,ユイ]	[]	5
7046500	乱	乚	7	[ラン]	[[みだ,れる],[みだ,す]]	5
6251900	片	片	4	[ヘン]	[[かた]]	5
5450500	乳	乚	8	[ニュウ／]	[[ちち],[ち]]	5
4626800	誕	訁	15	[タン]	[]	5
4053600	専	寸	9	[セン]	[[もっぱ,ら]]	5
3254200	純	糸	10	[ジュン]	[]	5
2737900	至	至	6	[シ]	[[いた,る]]	5
2020800	己	己	3	[コ,キ]	[[おのれ]]	5
1256200	貴	貝	12	[キ]	[[たっと,い],[とうと,い],[たっと,ぶ],[とうと,ぶ]]	5
193000	域	土	11	[イキ]	[]	5
7051800	卵	卩	7	[ラン]	[[たまご]]	5
6308700	補	衤	12	[ホ]	[[おぎな,う]]	5
5463500	認	訁	14	[ニン]	[[みと,める]]	5
4641100	段	殳	9	[ダン]	[]	5
4060800	泉	水	9	[セン]	[[いずみ]]	5
3273600	処	几	5	[ショ]	[]	5
2744900	私	禾	7	[シ]	[[わたくし],[わたし]]	5
2031200	呼	口	8	[コ]	[[よ,ぶ]]	5
1309600	疑	疋	14	[ギ]	[[うたが,う]]	5
309500	宇	宀	6	[ウ]	[]	5
7055400	覧	見	17	[ラン]	[]	5
6329100	暮	日	14	[ボ]	[[く,れる],[く,らす]]	5
5495600	納	糸	10	[ノウ,ナッ]	[[おさ,める],[おさ,まる]]	5
4650700	暖	日	13	[ダン]	[[あたた,か],[あたた,かい],[あたた,まる],[あたた,める]]	5
4061700	洗	氵	9	[セン]	[[あら,う]]	5
3299000	署	罒	13	[ショ]	[]	5
2763100	姿	女	9	[シ]	[[すがた]]	5
2112300	誤	訁	14	[ゴ]	[[あやま,る]]	5
1377400	吸	口	6	[キュウ]	[[す,う]]	5
387400	映	日	9	[エイ]	[[うつ,る],[うつ,す],[は,える]]	5
7089000	裏	衣	13	[リ]	[[うら]]	5
6348000	宝	宀	8	[ホウ]	[[たから]]	5
5500700	脳	月	11	[ノウ]	[]	5
4675200	値	亻	10	[チ]	[[ね],[あたい]]	5
4056800	染	木	9	[セン]	[[そ,める],[そ,まる],[し,みる],[し,み]]	5
3302400	諸	訁	15	[ショ]	[]	5
2793500	視	見	11	[シ]	[]	5
2162500	后	口	6	[コウ]	[]	5
1490800	供	亻	8	[キョウ,ク]	[[そな,える],[とも]]	5
440400	延	廴	8	[エン]	[[の,びる],[の,べる],[の,ばす]]	5
7109800	律	彳	9	[リツ,リチ]	[]	5
6384500	訪	訁	11	[ホウ]	[[おとず,れる],[たず,ねる]]	5
5529500	派	氵	9	[ハ]	[]	5
4735300	宙	宀	8	[チュウ]	[]	5
4094900	銭	金	14	[セン]	[[ぜに]]	5
3326100	除	阝	10	[ジョ,ジ]	[[のぞ,く]]	5
2805800	詞	訁	12	[シ]	[]	5
2180100	孝	子	7	[コウ]	[]	5
1509700	胸	月	10	[キョウ]	[[むね],[むな]]	5
443500	沿	氵	8	[エン]	[[そ,う]]	5
7216700	臨	臣	18	[リン]	[[のぞ,む]]	5
6414400	亡	亠	3	[ボウ,モウ]	[[な,い]]	5
5555200	拝	扌	8	[ハイ]	[[おが,む]]	5
4736000	忠	心	8	[チュウ]	[]	5
4141100	善	口	12	[ゼン]	[[よ,い]]	5
3361100	承	手	8	[ショウ]	[[うけたまわ,る]]	5
2825200	誌	訁	14	[シ]	[]	5
2216400	皇	白	9	[コウ,オウ]	[]	5
1528500	郷	阝	11	[キョウ,ゴウ]	[]	5
600100	恩	心	10	[オン]	[]	5
7355900	朗	月	10	[ロウ]	[[ほが,らか]]	5
6423400	忘	心	7	[ボウ]	[[わす,れる]]	5
5559900	背	肉	9	[ハイ]	[[せ],[せい],[そむ,く],[そむ,ける]]	5
4766800	著	艹	11	[チョ]	[[あらわ,す],[いちじる,しい]]	5
4215200	奏	大	9	[ソウ]	[[かな,でる]]	5
3375200	将	寸	10	[ショウ]	[]	5
2890700	磁	石	14	[ジ]	[]	5
2218800	紅	糸	9	[コウ,ク]	[[べに],[くれない]]	5
1621200	勤	力	12	[キン,ゴン]	[[つと,める],[つと,まる]]	5
733500	我	戈	7	[ガ]	[[われ],[わ]]	5
7394000	論	訁	15	[ロン]	[]	5
6448900	棒	木	12	[ボウ]	[]	5
5564100	肺	月	9	[ハイ]	[]	5
4778800	庁	广	5	[チョウ]	[]	5
4247700	窓	穴	11	[ソウ]	[[まど]]	5
3425400	傷	亻	13	[ショウ]	[[きず],[いた,む],[いた,める]]	5
2974700	射	寸	10	[シャ]	[[い,る]]	5
2247900	降	阝	10	[コウ]	[[お,りる],[お,ろす],[ふ,る]]	5
1626100	筋	竹	12	[キン]	[[すじ]]	5
765200	灰	火	6	[カイ]	[[はい]]	5
6533100	枚	木	8	[マイ]	[]	5
5566300	俳	亻	10	[ハイ]	[]	5
4802600	頂	頁	11	[チョウ]	[[いただ,く],[いただき]]	5
4248700	創	刂	12	[ソウ]	[[つく,る]]	5
3441800	障	阝	14	[ショウ]	[[さわ,る]]	5
2977700	捨	扌	11	[シャ]	[[す,てる]]	5
2319500	鋼	金	16	[コウ]	[[はがね]]	5
1758100	系	糸	7	[ケイ]	[]	5
886600	拡	扌	8	[カク]	[]	5
6541300	幕	巾	13	[マク,バク]	[]	5
5748000	班	王	10	[ハン]	[]	5
4818000	腸	月	13	[チョウ]	[]	5
4258800	装	衣	12	[ソウ,ショウ]	[[よそお,う]]	5
3519600	蒸	艹	13	[ジョウ]	[[む,す],[む,れる],[む,らす]]	5
2999700	尺	尸	4	[シャク]	[]	5
2371000	刻	刂	8	[コク]	[[きざ,む]]	5
1789800	敬	攵	12	[ケイ]	[[うやま,う]]	5
890000	革	革	9	[カク]	[[かわ]]	5
6612700	密	宀	11	[ミツ]	[]	5
5777400	晩	日	12	[バン]	[]	5
4829500	潮	氵	15	[チョウ]	[[しお]]	5
4273100	層	尸	14	[ソウ]	[]	5
3630400	針	金	10	[シン]	[[はり]]	5
3015400	若	艹	8	[ジャク]	[[わか,い],[も,しくは]]	5
2384200	穀	禾	14	[コク]	[]	5
1822900	警	言	19	[ケイ]	[]	5
910200	閣	門	14	[カク]	[]	5
6689500	盟	皿	13	[メイ]	[]	5
5797700	否	口	7	[ヒ]	[[いな]]	5
4872100	賃	貝	13	[チン]	[]	5
4293000	操	扌	16	[ソウ]	[[みさお],[あやつ,る]]	5
3694400	仁	亻	4	[ジン,ニ]	[]	5
3088900	樹	木	16	[ジュ]	[]	5
2398600	骨	骨	10	[コツ]	[[ほね]]	5
1841700	劇	刂	15	[ゲキ]	[]	5
970900	割	刂	12	[カツ]	[[わ,る],[わり],[わ,れる],[さ,く]]	5
6718000	模	木	14	[モ,ボ]	[]	5
5801400	批	扌	7	[ヒ]	[]	5
4893600	痛	疒	12	[ツウ]	[[いた,い],[いた,む],[いた,める]]	5
4324100	蔵	艹	15	[ゾウ]	[[くら]]	5
3740600	垂	土	8	[スイ]	[[た,れる],[た,らす]]	5
3093900	収	又	4	[シュウ]	[[おさ,める],[おさ,まる]]	5
